,Active Ingredients,UID,Brand Name
712,Sodium Chloride,A1712,NA
713,"Sodium Chloride; Citric Acid Monohydrate; Trisodium Citrate Dihydrate; Anhydrous Dextrose; Tromethamine; Potassium Chloride; Sodium Phosphate, Monobasic, Monohydrate; Dextrose Monohydrate",A1713,NA
714,Sodium Chloride; Magnesium Sulfate Heptahydrate; Potassium Chloride; Dextrose Monohydrate; Calcium Chloride,A1714,NA
715,Sodium Chloride; Magnesium Sulfate Heptahydrate; Potassium Chloride; Sodium Bicarbonate; Calcium Chloride,A1715,NA
716,Sodium Chloride; Sodium Gluconate; Magnesium Chloride; Sodium Acetate; Potassium Chloride; Mannitol; Magnesium Sulfate Heptahydrate; Tromethamine; Dextrose Monohydrate,A1716,NA
717,Sodium Chloride; Sodium Gluconate; Sodium Acetate; Potassium Chloride; Magnesium Chloride; Dextrose Monohydrate; Lidocaine Hydrochloride; Sodium Bicarbonate; Calcium Chloride,A1717,NA
718,Sodium Chloride; Sodium Gluconate; Sodium Acetate; Potassium Chloride; Magnesium Chloride; Lidocaine Hydrochloride; Sodium Bicarbonate,A1718,NA
719,"Sodium Chloride; Tromethamine; Potassium Chloride; Dextrose Monohydrate; Citric Acid Monohydrate; Trisodium Citrate Dihydrate; Sodium Phosphate, Monobasic, Monohydrate; Anhydrous Dextrose",A1719,NA
720,"Sodium Chloride; Tromethamine; Potassium Chloride; Dextrose Monohydrate; Sodium Phosphate, Monobasic, Monohydrate; Anhydrous Dextrose; Citric Acid Monohydrate; Trisodium Citrate Dihydrate",A1720,NA
721,Sodium Citrate,A1721,NA
722,Sodium Glycolate,A1722,NA
723,Sodium Hydroxide,A1723,NA
724,Sodium Oxalate,A1724,NA
725,"Sodium Phosphate, Dibasic, Anhydrous",A1725,NA
726,"Sodium Phosphate, Dibasic, Heptahydrate; Sodium Phosphate, Monobasic, Monohydrate",A1726,NA
727,"Sodium Phosphate, Monobasic, Monohydrate; Anhydrous Dextrose; Aspartic Acid; Glutamic Acid; Citric Acid Monohydrate; Trisodium Citrate Dihydrate",A1727,NA
728,"Sodium Phosphate, Monobasic, Monohydrate; Anhydrous Dextrose; Citric Acid Monohydrate; Trisodium Citrate Dihydrate; Sodium Chloride; Tromethamine; Potassium Chloride; Dextrose Monohydrate",A1728,NA
729,"Sodium Phosphate, Monobasic, Monohydrate; Anhydrous Dextrose; Potassium Chloride; Aspartic Acid; Tromethamine; Glutamic Acid; Dextrose Monohydrate; Citric Acid Monohydrate; Trisodium Citrate Dihydrate",A1729,NA
730,"Sodium Phosphate, Monobasic, Monohydrate; Sodium Phosphate, Dibasic, Anhydrous",A1730,NA
731,Sodium Selenate,A1731,NA
732,Sodium Tetradecyl Sulfate,A1732,NA
733,Sodium Thiosulfate,A1733,NA
734,Squaric Acid Dibutyl Ester,A1734,NA
735,Succinylcholine,A1735,NA
736,Succinylcholine Chloride,A1736,NA
737,Succinylcholine Chloride Dihydrate,A1737,NA
738,Sufentanil Citrate; Ropivacaine Hydrochloride,A1738,NA
739,Sulfacetamide Sodium; Niacinamide,A1739,NA
740,Sulfacetamide Sodium; Salicylic Acid,A1740,NA
741,Sulfamethoxazole; Chloramphenicol; Amphotericin B,A1741,NA
742,Sulfamethoxazole; Chloramphenicol; Amphotericin B; Hydrocortisone,A1742,NA
743,Tacrolimus,A1743,NA
744,Tacrolimus; Niacinamide,A1744,NA
745,Tacrolimus; Urea,A1745,NA
746,Tadalafil,A1746,NA
747,Tadalafil; Oxytocin,A1747,NA
748,Tadalafil; Testosterone,A1748,NA
749,Taurine,A1749,NA
750,Taurine; Theanine; Magnesium Chloride Anhydrous; Gabapentin,A1750,NA
751,Tazarotene,A1751,NA
752,Terbinafine Hydrochloride,A1752,NA
753,Testosterone,A1753,NA
754,Testosterone Acetate; Progesterone; Estriol; Estradiol,A1754,NA
755,Testosterone Cypionate,A1755,NA
756,Testosterone Cypionate; Testosterone Enanthate,A1756,NA
757,Testosterone Cypionate; Testosterone Propionate,A1757,NA
758,Testosterone Enanthate,A1758,NA
759,Testosterone Enanthate; Testosterone Cypionate; Nandrolone Decanoate,A1759,NA
760,Testosterone Propionate,A1760,NA
761,Testosterone Propionate; Testosterone Cypionate,A1761,NA
762,Testosterone; Anastrozole,A1762,NA
763,Testosterone; Estriol; Estradiol,A1763,NA
764,Testosterone; Sildenafil Citrate; Oxytocin,A1764,NA
765,Testosterone; Tadalafil,A1765,NA
766,Testosterone; Triamcinolone Acetonide,A1766,NA
767,Tetracaine,A1767,NA
768,Tetracaine Hydrochloride,A1768,NA
769,Tetracaine Hydrochloride; Benzocaine; Lidocaine Hydrochloride Anhydrous,A1070,NA
770,Tetracaine Hydrochloride; Epinephrine Bitartrate; Lidocaine Hydrochloride,A1770,NA
771,Tetracaine Hydrochloride; Lidocaine Hydrochloride; Phenylephrine Hydrochloride,A1771,NA
772,Tetracaine Hydrochloride; Racepinephrine Hydrochloride; Lidocaine Hydrochloride,A1772,NA
773,Tetracaine; Benzocaine; Lidocaine,A1070,NA
774,Tetracaine; Lidocaine,A1416,NA
775,Tetracaine; Lidocaine; Benzocaine,A1070,NA
776,Tetracaine; Phenylephrine; Prilocaine; Lidocaine,A1776,NA
777,Thiamine Hydrochloride,A1777,NA
778,Thiamine Hydrochloride; Benzyl Alcohol; Riboflavin 5'-Phosphate Sodium; Niacinamide; Dexpanthenol; Pyridoxine Hydrochloride,A1778,NA
779,Thiamine Hydrochloride; Methionine; Choline Chloride; Cyanocobalamin; Inositol,A1779,NA
780,Thiamine Hydrochloride; Riboflavin 5'-Phosphate Sodium; Dexpanthenol; Pyridoxine Hydrochloride; Niacinamide,A1780,NA
781,Thiamine Hydrochloride; Riboflavin 5'-Phosphate Sodium; Niacinamide; Pyridoxine Hydrochloride; Cyanocobalamin; Methionine; Inositol; Choline Chloride; Carnitine,A1781,NA
782,Thiamine Hydrochloride; Riboflavin 5'-Phosphate Sodium; Niacinamide; Pyridoxine Hydrochloride; Hydroxocobalamin,A1782,NA
783,Thiamine Hydrochloride; Riboflavin 5'-Phosphate Sodium; Niacinamide; Pyridoxine Hydrochloride; Hydroxocobalamin Hydrochloride,A1783,NA
784,Thiamine Hydrochloride; Riboflavin 5'-Phosphate Sodium; Niacinamide; Pyridoxine Hydrochloride; Hydroxocobalamin Hydrochloride; Methionine; Inositol; Choline Chloride; Carnitine,A1784,NA
785,Thiamine Hydrochloride; Riboflavin 5'-Phosphate Sodium; Panthenol; Niacinamide; Pyridoxine Hydrochloride,A1785,NA
786,Tilarginine Acetate,A1786,NA
787,Tobramycin,A1787,NA
788,Tramadol Hydrochloride,A1788,NA
789,Tretinoin,A1789,NA
790,Tretinoin; Butylated Hydroxytoluene; Alcohol; Polyethylene Glycol 300,A1790,NA
791,Tretinoin; Fluocinonide; Hydroquinone,A1791,NA
792,Tretinoin; Hydrocortisone,A1792,NA
793,Tretinoin; Hydroquinone,A1793,NA
794,Tretinoin; Minoxidil,A1794,NA
795,Tretinoin; Spironolactone; Benzoyl Peroxide; Clindamycin Phosphate; Niacinamide,A1795,NA
796,Triamcinolone Acetonide,A1796,NA
797,Triamcinolone Acetonide; Calcipotriene,A1797,NA
798,Triamcinolone Acetonide; Levocetirizine Dihydrochloride; Mupirocin,A1798,NA
799,Triamcinolone Acetonide; Moxifloxacin Hydrochloride,A1799,NA
800,Triamcinolone Acetonide; Pentoxifylline,A1800,NA
801,Triamcinolone Acetonide; Testosterone,A1801,NA
802,Triamcinolone; Naltrexone,A1802,NA
803,Trichloroacetic Acid,A1803,NA
804,Trisodium Citrate Dihydrate,A1804,NA
805,Trisodium Citrate Dihydrate; Gentamicin Sulfate,A1805,NA
806,Trisodium Citrate Dihydrate; Sodium Chloride,A1806,NA
807,"Trisodium Citrate Dihydrate; Sodium Phosphate, Monobasic, Monohydrate; Anhydrous Dextrose; Dextrose Monohydrate; Potassium Chloride; Aspartic Acid; Tromethamine; Glutamic Acid; Magnesium Sulfate Heptahydrate; Citric Acid Monohydrate",A1807,NA
808,"Trisodium Citrate Dihydrate; Sodium Phosphate, Monobasic, Monohydrate; Anhydrous Dextrose; Potassium Chloride; Aspartic Acid; Tromethamine; Glutamic Acid; Dextrose Monohydrate; Citric Acid Monohydrate",A1808,NA
809,"Trisodium Citrate Dihydrate; Sodium Phosphate, Monobasic, Monohydrate; Anhydrous Dextrose; Sodium Chloride; Tromethamine; Potassium Chloride; Dextrose Monohydrate; Citric Acid Monohydrate",A1809,NA
810,Tromethamine,A1810,NA
811,Tropicamide,A1811,NA
812,Tropicamide Hydrochloride; Phenylephrine Hydrochloride; Cyclopentolate Hydrochloride; Ketorolac Tromethamine,A1812,NA
813,Tropicamide Hydrochloride; Phenylephrine Hydrochloride; Cyclopentolate Hydrochloride; Tetracaine Hydrochloride,A1813,NA
814,Tropicamide; Cyclopentolate Hydrochloride; Phenylephrine Hydrochloride,A1814,NA
815,Tropicamide; Cyclopentolate Hydrochloride; Phenylephrine Hydrochloride; Ketorolac Tromethamine,A1815,NA
816,Tropicamide; Cyclopentolate; Phenylephrine Hydrochloride,A1816,NA
817,Tropicamide; Ketorolac Tromethamine; Phenylephrine Hydrochloride; Tetracaine,A1817,NA
818,Tropicamide; Ketorolac Tromethamine; Proparacaine Hydrochloride; Cyclopentolate Hydrochloride; Phenylephrine Hydrochloride,A1818,NA
819,Tropicamide; Phenylephrine Hydrochloride,A1819,NA
820,Tropicamide; Phenylephrine Hydrochloride; Cyclopentolate Hydrochloride,A1820,NA
821,Tropicamide; Phenylephrine Hydrochloride; Tetracaine,A1821,NA
822,Tropicamide; Phenylephrine Hydrochloride; Tetracaine Hydrochloride,A1822,NA
823,Tropicamide; Proparacaine Hydrochloride; Phenylephrine Hydrochloride; Ketorolac Tromethamine,A1823,NA
824,Trypan Blue,A1824,NA
825,Tryptophan; Valine; Calcium Gluconate Monohydrate; Lysine Acetate; Serine; Tyrosine; N-Acetyltyrosine; Threonine; Cysteine Hydrochloride; Histidine; Arginine; Taurine; Dextrose Monohydrate; Leucine; Methionine; Glutamic Acid; Proline; Aspartic Acid; Isoleucine; Alanine; Glycine; Phenylalanine,A1825,NA
826,Tyrosine; N-Acetyltyrosine; Threonine; Cysteine Hydrochloride; Histidine; Arginine; Taurine; Dextrose Monohydrate; Leucine; Methionine; Proline; Aspartic Acid; Isoleucine; Alanine; Glycine; Phenylalanine; Tryptophan; Valine; Heparin Sodium; Calcium Gluconate Monohydrate; Glutamic Acid; Lysine Acetate; Serine,A1826,NA
827,Tyrosine; Tryptophan; Serine; Lysine Hydrochloride; Valine; Phenylalanine; Threonine; Methionine; Alanine; Arginine; Proline; Leucine Hydrochloride; Isoleucine; Glycine; Histidine,A1827,NA
828,Urea; Niacinamide,A1828,NA
829,Ursodiol,A1829,NA
830,Valine; Calcium Gluconate Monohydrate; Heparin Sodium; Glutamic Acid; Lysine Acetate; Serine; Tyrosine; N-Acetyltyrosine; Threonine; Cysteine Hydrochloride; Histidine; Arginine; Taurine; Dextrose Monohydrate; Leucine; Methionine; Proline; Aspartic Acid; Isoleucine; Alanine; Glycine; Phenylalanine; Tryptophan,A1830,NA
831,Valine; Isoleucine; Taurine; Magnesium Sulfate Heptahydrate; Arginine Hydrochloride; Leucine; Glutamine,A1831,NA
832,Valine; Isoleucine; Taurine; Magnesium Sulfate Heptahydrate; Sodium Selenite; Arginine Hydrochloride; Leucine; Glutamine,A1832,NA
833,Vancomycin,A1833,NA
834,Vancomycin Hydrochloride,A1834,NA
835,Vancomycin Hydrochloride; Gentamicin Sulfate,A1835,NA
836,Vardenafil,A1836,NA
837,Vasopressin,A1837,NA
838,"Vasopressin, Unspecified",A1838,NA
839,Vecuronium Bromide,A1839,NA
840,Verapamil Hydrochloride,A1840,NA
841,Yohimbine,A1841,NA
842,Yohimbine Hydrochloride,A1842,NA
843,Zinc Sulfate,A1843,NA
844,Zinc Sulfate Monohydrate,A1844,NA
845,Zinc Sulfate Monohydrate; Cupric Sulfate; Manganese Sulfate; Magnesium Sulfate Heptahydrate; Ondansetron Hydrochloride; Chromic Chloride,A1845,NA
846,"Zinc Sulfate, Unspecified Form",A1846,NA
