"","Active","Facility","Segment","ActiveCount","ProductCount","FacilitySegmentCount","SegmentCount","ProducedByCP","City","State","lon","lat","InitialRegistration","FacilitySqFt","Employees","Services","EstSales","EstFacilitySize"
"1519","Atropine Sulfate","Medi-Fare Drug","Surgical",14,58,20,686,NA,"Blacksburg","SC",-80.4139393,37.2295733,2013-12-17,"NA",15,"Compounding",3390000,"Small"
"1520","Bupivacaine Hydrochloride; Fentanyl Citrate","Medi-Fare Drug","Surgical",5,58,20,686,NA,"Blacksburg","SC",-80.4139393,37.2295733,2013-12-17,"NA",15,"Compounding",3390000,"Small"
"1521","Cefuroxime Sodium","Medi-Fare Drug","Surgical",4,58,20,686,NA,"Blacksburg","SC",-80.4139393,37.2295733,2013-12-17,"NA",15,"Compounding",3390000,"Small"
"1522","Ephedrine Sulfate","Medi-Fare Drug","Surgical",21,58,20,686,"Y","Blacksburg","SC",-80.4139393,37.2295733,2013-12-17,"NA",15,"Compounding",3390000,"Small"
"1523","Esmolol Hydrochloride","Medi-Fare Drug","Surgical",5,58,20,686,NA,"Blacksburg","SC",-80.4139393,37.2295733,2013-12-17,"NA",15,"Compounding",3390000,"Small"
"1524","Fentanyl Citrate","Medi-Fare Drug","Surgical",20,58,20,686,NA,"Blacksburg","SC",-80.4139393,37.2295733,2013-12-17,"NA",15,"Compounding",3390000,"Small"
"1525","Fentanyl Citrate; Bupivacaine Hydrochloride","Medi-Fare Drug","Surgical",5,58,20,686,NA,"Blacksburg","SC",-80.4139393,37.2295733,2013-12-17,"NA",15,"Compounding",3390000,"Small"
"1526","Glycopyrrolate","Medi-Fare Drug","Surgical",19,58,20,686,NA,"Blacksburg","SC",-80.4139393,37.2295733,2013-12-17,"NA",15,"Compounding",3390000,"Small"
"1527","Hydromorphone Hydrochloride","Medi-Fare Drug","Surgical",18,58,20,686,NA,"Blacksburg","SC",-80.4139393,37.2295733,2013-12-17,"NA",15,"Compounding",3390000,"Small"
"1528","Isoproterenol Hydrochloride","Medi-Fare Drug","Surgical",6,58,20,686,NA,"Blacksburg","SC",-80.4139393,37.2295733,2013-12-17,"NA",15,"Compounding",3390000,"Small"
"1529","Midazolam","Medi-Fare Drug","Surgical",9,58,20,686,NA,"Blacksburg","SC",-80.4139393,37.2295733,2013-12-17,"NA",15,"Compounding",3390000,"Small"
"1530","Morphine Sulfate","Medi-Fare Drug","Surgical",21,58,20,686,NA,"Blacksburg","SC",-80.4139393,37.2295733,2013-12-17,"NA",15,"Compounding",3390000,"Small"
"1531","Neostigmine Methylsulfate","Medi-Fare Drug","Surgical",24,58,20,686,NA,"Blacksburg","SC",-80.4139393,37.2295733,2013-12-17,"NA",15,"Compounding",3390000,"Small"
"1532","Nitroglycerin","Medi-Fare Drug","Surgical",3,58,20,686,"Y","Blacksburg","SC",-80.4139393,37.2295733,2013-12-17,"NA",15,"Compounding",3390000,"Small"
"1533","Phenol","Medi-Fare Drug","Surgical",3,58,20,686,NA,"Blacksburg","SC",-80.4139393,37.2295733,2013-12-17,"NA",15,"Compounding",3390000,"Small"
"1534","Phenylephrine Hydrochloride","Medi-Fare Drug","Surgical",28,58,20,686,NA,"Blacksburg","SC",-80.4139393,37.2295733,2013-12-17,"NA",15,"Compounding",3390000,"Small"
"1535","Povidone-Iodine","Medi-Fare Drug","Surgical",6,58,20,686,NA,"Blacksburg","SC",-80.4139393,37.2295733,2013-12-17,"NA",15,"Compounding",3390000,"Small"
"1536","Succinylcholine Chloride","Medi-Fare Drug","Surgical",18,58,20,686,NA,"Blacksburg","SC",-80.4139393,37.2295733,2013-12-17,"NA",15,"Compounding",3390000,"Small"
"1537","Atropine","Nephron Sterile Compounding Center, LLC","Surgical",2,93,33,686,NA,"West Columbia","SC",-81.0739825,33.9934867,2014-07-15,"NA",5,"Compounding",618285,"Small"
"1538","Bupivacaine Hydrochloride","Nephron Sterile Compounding Center, LLC","Surgical",11,93,33,686,NA,"West Columbia","SC",-81.0739825,33.9934867,2014-07-15,"NA",5,"Compounding",618285,"Small"
"1539","Bupivacaine Hydrochloride; Dextrose","Nephron Sterile Compounding Center, LLC","Surgical",1,93,33,686,NA,"West Columbia","SC",-81.0739825,33.9934867,2014-07-15,"NA",5,"Compounding",618285,"Small"
"1540","Bupivacaine Hydrochloride; Epinephrine","Nephron Sterile Compounding Center, LLC","Surgical",1,93,33,686,NA,"West Columbia","SC",-81.0739825,33.9934867,2014-07-15,"NA",5,"Compounding",618285,"Small"
"1541","Calcium Chloride","Nephron Sterile Compounding Center, LLC","Surgical",5,93,33,686,NA,"West Columbia","SC",-81.0739825,33.9934867,2014-07-15,"NA",5,"Compounding",618285,"Small"
"1542","Diazepam","Nephron Sterile Compounding Center, LLC","Surgical",4,93,33,686,NA,"West Columbia","SC",-81.0739825,33.9934867,2014-07-15,"NA",5,"Compounding",618285,"Small"
"1543","Diltiazem Hydrochloride","Nephron Sterile Compounding Center, LLC","Surgical",12,93,33,686,NA,"West Columbia","SC",-81.0739825,33.9934867,2014-07-15,"NA",5,"Compounding",618285,"Small"
"1544","Ephedrine Sulfate","Nephron Sterile Compounding Center, LLC","Surgical",21,93,33,686,"Y","West Columbia","SC",-81.0739825,33.9934867,2014-07-15,"NA",5,"Compounding",618285,"Small"
"1545","Epinephrine","Nephron Sterile Compounding Center, LLC","Surgical",15,93,33,686,"Y","West Columbia","SC",-81.0739825,33.9934867,2014-07-15,"NA",5,"Compounding",618285,"Small"
"1546","Fentanyl Citrate","Nephron Sterile Compounding Center, LLC","Surgical",20,93,33,686,NA,"West Columbia","SC",-81.0739825,33.9934867,2014-07-15,"NA",5,"Compounding",618285,"Small"
"1547","Glycopyrrolate","Nephron Sterile Compounding Center, LLC","Surgical",19,93,33,686,NA,"West Columbia","SC",-81.0739825,33.9934867,2014-07-15,"NA",5,"Compounding",618285,"Small"
"1548","Hydromorphone Hydrochloride","Nephron Sterile Compounding Center, LLC","Surgical",18,93,33,686,NA,"West Columbia","SC",-81.0739825,33.9934867,2014-07-15,"NA",5,"Compounding",618285,"Small"
"1549","Ketamine Hydrochloride","Nephron Sterile Compounding Center, LLC","Surgical",14,93,33,686,NA,"West Columbia","SC",-81.0739825,33.9934867,2014-07-15,"NA",5,"Compounding",618285,"Small"
"1550","Ketamine Hydrochloride; Ketorolac; Bupivacaine Hydrochloride","Nephron Sterile Compounding Center, LLC","Surgical",1,93,33,686,NA,"West Columbia","SC",-81.0739825,33.9934867,2014-07-15,"NA",5,"Compounding",618285,"Small"
"1551","Ketorolac Tromethamine","Nephron Sterile Compounding Center, LLC","Surgical",2,93,33,686,NA,"West Columbia","SC",-81.0739825,33.9934867,2014-07-15,"NA",5,"Compounding",618285,"Small"
"1552","Labetalol Hydrochloride","Nephron Sterile Compounding Center, LLC","Surgical",12,93,33,686,"Y","West Columbia","SC",-81.0739825,33.9934867,2014-07-15,"NA",5,"Compounding",618285,"Small"
"1553","Morphine Sulfate","Nephron Sterile Compounding Center, LLC","Surgical",21,93,33,686,NA,"West Columbia","SC",-81.0739825,33.9934867,2014-07-15,"NA",5,"Compounding",618285,"Small"
"1554","Neostigmine Methylsulfate","Nephron Sterile Compounding Center, LLC","Surgical",24,93,33,686,NA,"West Columbia","SC",-81.0739825,33.9934867,2014-07-15,"NA",5,"Compounding",618285,"Small"
"1555","Ondansetron","Nephron Sterile Compounding Center, LLC","Surgical",1,93,33,686,NA,"West Columbia","SC",-81.0739825,33.9934867,2014-07-15,"NA",5,"Compounding",618285,"Small"
"1556","Phenylephrine Hydrochloride","Nephron Sterile Compounding Center, LLC","Surgical",28,93,33,686,NA,"West Columbia","SC",-81.0739825,33.9934867,2014-07-15,"NA",5,"Compounding",618285,"Small"
"1557","Rocuronium Bromide","Nephron Sterile Compounding Center, LLC","Surgical",13,93,33,686,NA,"West Columbia","SC",-81.0739825,33.9934867,2014-07-15,"NA",5,"Compounding",618285,"Small"
"1558","Ropivacaine Hydrochloride; Ketorolac Tromethamine; Clonidine Hydrochloride","Nephron Sterile Compounding Center, LLC","Surgical",1,93,33,686,NA,"West Columbia","SC",-81.0739825,33.9934867,2014-07-15,"NA",5,"Compounding",618285,"Small"
"1559","Sodium Bicarbonate","Nephron Sterile Compounding Center, LLC","Surgical",13,93,33,686,NA,"West Columbia","SC",-81.0739825,33.9934867,2014-07-15,"NA",5,"Compounding",618285,"Small"
"1560","Sodium Citrate","Nephron Sterile Compounding Center, LLC","Surgical",1,93,33,686,NA,"West Columbia","SC",-81.0739825,33.9934867,2014-07-15,"NA",5,"Compounding",618285,"Small"
"1561","Succinylcholine Chloride Dihydrate","Nephron Sterile Compounding Center, LLC","Surgical",2,93,33,686,NA,"West Columbia","SC",-81.0739825,33.9934867,2014-07-15,"NA",5,"Compounding",618285,"Small"
"1562","Trisodium Citrate Dihydrate","Nephron Sterile Compounding Center, LLC","Surgical",7,93,33,686,NA,"West Columbia","SC",-81.0739825,33.9934867,2014-07-15,"NA",5,"Compounding",618285,"Small"
"1563","Atropine Sulfate","New England Life Care LLC dba Advanced Compounding Solutions","Surgical",14,55,20,686,NA,"Woburn","MA",-71.1522765,42.4792618,2017-03-02,"NA",3,"Compounding",92720000,"Large"
"1564","Diltiazem Hydrochloride","New England Life Care LLC dba Advanced Compounding Solutions","Surgical",12,55,20,686,NA,"Woburn","MA",-71.1522765,42.4792618,2017-03-02,"NA",3,"Compounding",92720000,"Large"
"1565","Ephedrine Sulfate","New England Life Care LLC dba Advanced Compounding Solutions","Surgical",21,55,20,686,"Y","Woburn","MA",-71.1522765,42.4792618,2017-03-02,"NA",3,"Compounding",92720000,"Large"
"1566","Glycopyrrolate","New England Life Care LLC dba Advanced Compounding Solutions","Surgical",19,55,20,686,NA,"Woburn","MA",-71.1522765,42.4792618,2017-03-02,"NA",3,"Compounding",92720000,"Large"
"1567","Ketamine","New England Life Care LLC dba Advanced Compounding Solutions","Surgical",4,55,20,686,NA,"Woburn","MA",-71.1522765,42.4792618,2017-03-02,"NA",3,"Compounding",92720000,"Large"
"1568","Ketamine Hydrochloride","New England Life Care LLC dba Advanced Compounding Solutions","Surgical",14,55,20,686,NA,"Woburn","MA",-71.1522765,42.4792618,2017-03-02,"NA",3,"Compounding",92720000,"Large"
"1569","Neostigmine Methylsulfate","New England Life Care LLC dba Advanced Compounding Solutions","Surgical",24,55,20,686,NA,"Woburn","MA",-71.1522765,42.4792618,2017-03-02,"NA",3,"Compounding",92720000,"Large"
"1570","Phenylephrine","New England Life Care LLC dba Advanced Compounding Solutions","Surgical",5,55,20,686,NA,"Woburn","MA",-71.1522765,42.4792618,2017-03-02,"NA",3,"Compounding",92720000,"Large"
"1571","Phenylephrine Hydrochloride","New England Life Care LLC dba Advanced Compounding Solutions","Surgical",28,55,20,686,NA,"Woburn","MA",-71.1522765,42.4792618,2017-03-02,"NA",3,"Compounding",92720000,"Large"
"1572","Rocuronium Bromide","New England Life Care LLC dba Advanced Compounding Solutions","Surgical",13,55,20,686,NA,"Woburn","MA",-71.1522765,42.4792618,2017-03-02,"NA",3,"Compounding",92720000,"Large"
"1573","Succinylcholine Chloride","New England Life Care LLC dba Advanced Compounding Solutions","Surgical",18,55,20,686,NA,"Woburn","MA",-71.1522765,42.4792618,2017-03-02,"NA",3,"Compounding",92720000,"Large"
"1574","Acetylcysteine","OLYMPIA PHARMACY","Surgical",2,44,6,686,NA,"Orlando","FL",-81.3789269,28.5383832,2014-03-10,"NA",5,"Compounding",1810000,"Small"
"1575","Papaverine Hydrochloride; Phentolamine Mesylate; Alprostadil","OLYMPIA PHARMACY","Surgical",3,44,6,686,NA,"Orlando","FL",-81.3789269,28.5383832,2014-03-10,"NA",5,"Compounding",1810000,"Small"
"1576","Papaverine Hydrochloride; Phentolamine Mesylate; Alprostadil; Atropine Sulfate","OLYMPIA PHARMACY","Surgical",2,44,6,686,NA,"Orlando","FL",-81.3789269,28.5383832,2014-03-10,"NA",5,"Compounding",1810000,"Small"
"1577","Phenylephrine","OLYMPIA PHARMACY","Surgical",5,44,6,686,NA,"Orlando","FL",-81.3789269,28.5383832,2014-03-10,"NA",5,"Compounding",1810000,"Small"
"1578","Sodium Bicarbonate","OLYMPIA PHARMACY","Surgical",13,44,6,686,NA,"Orlando","FL",-81.3789269,28.5383832,2014-03-10,"NA",5,"Compounding",1810000,"Small"
"1579","Diazepam","Pacifico National, Inc.  dba AmEx Pharmacy","Surgical",4,29,4,686,NA,"Melbourne","FL",144.9630576,-37.8136276,2015-09-21,"NA",19,"Compounding",6810000,"Medium"
"1580","Diltiazem Hydrochloride","Pacifico National, Inc.  dba AmEx Pharmacy","Surgical",12,29,4,686,NA,"Melbourne","FL",144.9630576,-37.8136276,2015-09-21,"NA",19,"Compounding",6810000,"Medium"
"1581","Progesterone","Pacifico National, Inc.  dba AmEx Pharmacy","Surgical",10,29,4,686,NA,"Melbourne","FL",144.9630576,-37.8136276,2015-09-21,"NA",19,"Compounding",6810000,"Medium"
"1582","Bupivacaine Hydrochloride Anhydrous","Pentec Health, Inc","Surgical",2,21,6,686,NA,"Boothwyn","PA",-75.4415843,39.8301125,2016-09-21,"NA",114,"Compounding",116940000,"Large"
"1583","Epinephrine","Pentec Health, Inc","Surgical",15,21,6,686,"Y","Boothwyn","PA",-75.4415843,39.8301125,2016-09-21,"NA",114,"Compounding",116940000,"Large"
"1584","Hydromorphone","Pentec Health, Inc","Surgical",4,21,6,686,NA,"Boothwyn","PA",-75.4415843,39.8301125,2016-09-21,"NA",114,"Compounding",116940000,"Large"
"1585","Norepinephrine Bitartrate","Pentec Health, Inc","Surgical",14,21,6,686,NA,"Boothwyn","PA",-75.4415843,39.8301125,2016-09-21,"NA",114,"Compounding",116940000,"Large"
"1586","Phenylephrine Hydrochloride","Pentec Health, Inc","Surgical",28,21,6,686,NA,"Boothwyn","PA",-75.4415843,39.8301125,2016-09-21,"NA",114,"Compounding",116940000,"Large"
"1587","Amiodarone Hydrochloride","PharMEDium Services, LLC SugarLand","Surgical",4,58,17,686,NA,"Sugar Land","TX",-95.6225521,29.5984434,2013-12-11,"NA",12,"Compounding",632447,"Small"
"1588","Atropine Sulfate","Pharmedium Services, LLC, Dayton","Surgical",14,74,25,686,NA,"Dayton","NJ",-84.1916069,39.7589478,2015-11-03,"NA",12,"Compounding",632447,"Small"
"1589","Bupivacaine Hydrochloride","Pharmedium Services, LLC, Dayton","Surgical",11,74,25,686,NA,"Dayton","NJ",-84.1916069,39.7589478,2015-11-03,"NA",12,"Compounding",632447,"Small"
"1590","Bupivacaine Hydrochloride","PharMEDium Services, LLC SugarLand","Surgical",11,58,17,686,NA,"Sugar Land","TX",-95.6225521,29.5984434,2013-12-11,"NA",12,"Compounding",632447,"Small"
"1591","Bupivacaine Hydrochloride","Pharmedium Services, LLC Cleveland","Surgical",11,54,22,686,NA,"Cleveland","MS",-81.6943605,41.49932,2013-12-11,"NA",12,"Compounding",632447,"Small"
"1592","Bupivacaine Hydrochloride; Fentanyl Citrate","Pharmedium Services, LLC Cleveland","Surgical",5,54,22,686,NA,"Cleveland","MS",-81.6943605,41.49932,2013-12-11,"NA",12,"Compounding",632447,"Small"
"1593","Bupivacaine Hydrochloride; Fentanyl Citrate","Pharmedium Services, LLC, Dayton","Surgical",5,74,25,686,NA,"Dayton","NJ",-84.1916069,39.7589478,2015-11-03,"NA",12,"Compounding",632447,"Small"
"1594","Cefazolin Sodium","PharMEDium Services, LLC SugarLand","Surgical",3,58,17,686,NA,"Sugar Land","TX",-95.6225521,29.5984434,2013-12-11,"NA",12,"Compounding",632447,"Small"
"1595","Cefazolin Sodium","Pharmedium Services, LLC, Dayton","Surgical",3,74,25,686,NA,"Dayton","NJ",-84.1916069,39.7589478,2015-11-03,"NA",12,"Compounding",632447,"Small"
"1596","Cisatracurium Besylate","Pharmedium Services, LLC Cleveland","Surgical",2,54,22,686,NA,"Cleveland","MS",-81.6943605,41.49932,2013-12-11,"NA",12,"Compounding",632447,"Small"
"1597","Diltiazem Hydrochloride","PharMEDium Services, LLC SugarLand","Surgical",12,58,17,686,NA,"Sugar Land","TX",-95.6225521,29.5984434,2013-12-11,"NA",12,"Compounding",632447,"Small"
"1598","Diltiazem Hydrochloride","Pharmedium Services, LLC, Dayton","Surgical",12,74,25,686,NA,"Dayton","NJ",-84.1916069,39.7589478,2015-11-03,"NA",12,"Compounding",632447,"Small"
"1599","Ephedrine Sulfate","Pharmedium Services, LLC, Dayton","Surgical",21,74,25,686,"Y","Dayton","NJ",-84.1916069,39.7589478,2015-11-03,"NA",12,"Compounding",632447,"Small"
"1600","Ephedrine Sulfate","Pharmedium Services, LLC Cleveland","Surgical",21,54,22,686,"Y","Cleveland","MS",-81.6943605,41.49932,2013-12-11,"NA",12,"Compounding",632447,"Small"
"1601","Epinephrine","Pharmedium Services, LLC Cleveland","Surgical",15,54,22,686,"Y","Cleveland","MS",-81.6943605,41.49932,2013-12-11,"NA",12,"Compounding",632447,"Small"
"1602","Epinephrine","PharMEDium Services, LLC SugarLand","Surgical",15,58,17,686,"Y","Sugar Land","TX",-95.6225521,29.5984434,2013-12-11,"NA",12,"Compounding",632447,"Small"
"1603","Epinephrine Hydrochloride","Pharmedium Services, LLC, Dayton","Surgical",2,74,25,686,NA,"Dayton","NJ",-84.1916069,39.7589478,2015-11-03,"NA",12,"Compounding",632447,"Small"
"1604","Esmolol Hydrochloride","Pharmedium Services, LLC Cleveland","Surgical",5,54,22,686,NA,"Cleveland","MS",-81.6943605,41.49932,2013-12-11,"NA",12,"Compounding",632447,"Small"
"1605","Fentanyl Citrate","Pharmedium Services, LLC, Dayton","Surgical",20,74,25,686,NA,"Dayton","NJ",-84.1916069,39.7589478,2015-11-03,"NA",12,"Compounding",632447,"Small"
"1606","Fentanyl Citrate","Pharmedium Services, LLC Cleveland","Surgical",20,54,22,686,NA,"Cleveland","MS",-81.6943605,41.49932,2013-12-11,"NA",12,"Compounding",632447,"Small"
"1607","Fentanyl Citrate; Bupivacaine Hydrochloride","Pharmedium Services, LLC Cleveland","Surgical",5,54,22,686,NA,"Cleveland","MS",-81.6943605,41.49932,2013-12-11,"NA",12,"Compounding",632447,"Small"
"1608","Furosemide","PharMEDium Services, LLC SugarLand","Surgical",4,58,17,686,NA,"Sugar Land","TX",-95.6225521,29.5984434,2013-12-11,"NA",12,"Compounding",632447,"Small"
"1609","Heparin Sodium","PharMEDium Services, LLC SugarLand","Surgical",7,58,17,686,NA,"Sugar Land","TX",-95.6225521,29.5984434,2013-12-11,"NA",12,"Compounding",632447,"Small"
"1610","Hydromorphone Hydrochloride","Pharmedium Services, LLC Cleveland","Surgical",18,54,22,686,NA,"Cleveland","MS",-81.6943605,41.49932,2013-12-11,"NA",12,"Compounding",632447,"Small"
"1611","Hydromorphone Hydrochloride","Pharmedium Services, LLC, Dayton","Surgical",18,74,25,686,NA,"Dayton","NJ",-84.1916069,39.7589478,2015-11-03,"NA",12,"Compounding",632447,"Small"
"1612","Ketamine Hydrochloride","Pharmedium Services, LLC Cleveland","Surgical",14,54,22,686,NA,"Cleveland","MS",-81.6943605,41.49932,2013-12-11,"NA",12,"Compounding",632447,"Small"
"1613","Labetalol Hydrochloride","Pharmedium Services, LLC Cleveland","Surgical",12,54,22,686,"Y","Cleveland","MS",-81.6943605,41.49932,2013-12-11,"NA",12,"Compounding",632447,"Small"
"1614","Labetalol Hydrochloride","Pharmedium Services, LLC, Dayton","Surgical",12,74,25,686,"Y","Dayton","NJ",-84.1916069,39.7589478,2015-11-03,"NA",12,"Compounding",632447,"Small"
"1615","Methadone Hydrochloride","Pharmedium Services, LLC Cleveland","Surgical",7,54,22,686,NA,"Cleveland","MS",-81.6943605,41.49932,2013-12-11,"NA",12,"Compounding",632447,"Small"
"1616","Methadone Hydrochloride","Pharmedium Services, LLC, Dayton","Surgical",7,74,25,686,NA,"Dayton","NJ",-84.1916069,39.7589478,2015-11-03,"NA",12,"Compounding",632447,"Small"
"1617","Methohexital Sodium","Pharmedium Services, LLC Cleveland","Surgical",2,54,22,686,NA,"Cleveland","MS",-81.6943605,41.49932,2013-12-11,"NA",12,"Compounding",632447,"Small"
"1618","Midazolam Hydrochloride","Pharmedium Services, LLC Cleveland","Surgical",7,54,22,686,NA,"Cleveland","MS",-81.6943605,41.49932,2013-12-11,"NA",12,"Compounding",632447,"Small"
"1619","Morphine Sulfate","Pharmedium Services, LLC Cleveland","Surgical",21,54,22,686,NA,"Cleveland","MS",-81.6943605,41.49932,2013-12-11,"NA",12,"Compounding",632447,"Small"
"1620","Morphine Sulfate","Pharmedium Services, LLC, Dayton","Surgical",21,74,25,686,NA,"Dayton","NJ",-84.1916069,39.7589478,2015-11-03,"NA",12,"Compounding",632447,"Small"
"1621","Neostigmine Methylsulfate","Pharmedium Services, LLC, Dayton","Surgical",24,74,25,686,NA,"Dayton","NJ",-84.1916069,39.7589478,2015-11-03,"NA",12,"Compounding",632447,"Small"
"1622","Neostigmine Methylsulfate","PharMEDium Services, LLC SugarLand","Surgical",24,58,17,686,NA,"Sugar Land","TX",-95.6225521,29.5984434,2013-12-11,"NA",12,"Compounding",632447,"Small"
"1623","Neostigmine Methylsulfate","Pharmedium Services, LLC Cleveland","Surgical",24,54,22,686,NA,"Cleveland","MS",-81.6943605,41.49932,2013-12-11,"NA",12,"Compounding",632447,"Small"
"1624","Norepinephrine Bitartrate","Pharmedium Services, LLC, Dayton","Surgical",14,74,25,686,NA,"Dayton","NJ",-84.1916069,39.7589478,2015-11-03,"NA",12,"Compounding",632447,"Small"
"1625","Norepinephrine Bitartrate","PharMEDium Services, LLC SugarLand","Surgical",14,58,17,686,NA,"Sugar Land","TX",-95.6225521,29.5984434,2013-12-11,"NA",12,"Compounding",632447,"Small"
"1626","Oxytocin","PharMEDium Services, LLC SugarLand","Surgical",17,58,17,686,NA,"Sugar Land","TX",-95.6225521,29.5984434,2013-12-11,"NA",12,"Compounding",632447,"Small"
"1627","Oxytocin","Pharmedium Services, LLC, Dayton","Surgical",17,74,25,686,NA,"Dayton","NJ",-84.1916069,39.7589478,2015-11-03,"NA",12,"Compounding",632447,"Small"
"1628","Phenylephrine Hydrochloride","Pharmedium Services, LLC, Dayton","Surgical",28,74,25,686,NA,"Dayton","NJ",-84.1916069,39.7589478,2015-11-03,"NA",12,"Compounding",632447,"Small"
"1629","Phenylephrine Hydrochloride","PharMEDium Services, LLC SugarLand","Surgical",28,58,17,686,NA,"Sugar Land","TX",-95.6225521,29.5984434,2013-12-11,"NA",12,"Compounding",632447,"Small"
"1630","Phenylephrine Hydrochloride","Pharmedium Services, LLC Cleveland","Surgical",28,54,22,686,NA,"Cleveland","MS",-81.6943605,41.49932,2013-12-11,"NA",12,"Compounding",632447,"Small"
"1631","Remifentanil Hydrochloride","Pharmedium Services, LLC, Dayton","Surgical",4,74,25,686,NA,"Dayton","NJ",-84.1916069,39.7589478,2015-11-03,"NA",12,"Compounding",632447,"Small"
"1632","Remifentanil Hydrochloride","Pharmedium Services, LLC Cleveland","Surgical",4,54,22,686,NA,"Cleveland","MS",-81.6943605,41.49932,2013-12-11,"NA",12,"Compounding",632447,"Small"
"1633","Rocuronium Bromide","Pharmedium Services, LLC Cleveland","Surgical",13,54,22,686,NA,"Cleveland","MS",-81.6943605,41.49932,2013-12-11,"NA",12,"Compounding",632447,"Small"
"1634","Rocuronium Bromide","Pharmedium Services, LLC, Dayton","Surgical",13,74,25,686,NA,"Dayton","NJ",-84.1916069,39.7589478,2015-11-03,"NA",12,"Compounding",632447,"Small"
"1635","Sodium Phosphate, Monobasic, Monohydrate; Sodium Phosphate, Dibasic, Anhydrous","Pharmedium Services, LLC, Dayton","Surgical",3,74,25,686,NA,"Dayton","NJ",-84.1916069,39.7589478,2015-11-03,"NA",12,"Compounding",632447,"Small"
"1636","Sodium Phosphate, Monobasic, Monohydrate; Sodium Phosphate, Dibasic, Anhydrous","PharMEDium Services, LLC SugarLand","Surgical",3,58,17,686,NA,"Sugar Land","TX",-95.6225521,29.5984434,2013-12-11,"NA",12,"Compounding",632447,"Small"
"1637","Succinylcholine Chloride","Pharmedium Services, LLC Cleveland","Surgical",18,54,22,686,NA,"Cleveland","MS",-81.6943605,41.49932,2013-12-11,"NA",12,"Compounding",632447,"Small"
"1638","Succinylcholine Chloride","Pharmedium Services, LLC, Dayton","Surgical",18,74,25,686,NA,"Dayton","NJ",-84.1916069,39.7589478,2015-11-03,"NA",12,"Compounding",632447,"Small"
"1639","Trisodium Citrate Dihydrate","PharMEDium Services, LLC SugarLand","Surgical",7,58,17,686,NA,"Sugar Land","TX",-95.6225521,29.5984434,2013-12-11,"NA",12,"Compounding",632447,"Small"
"1640","Trisodium Citrate Dihydrate","Pharmedium Services, LLC, Dayton","Surgical",7,74,25,686,NA,"Dayton","NJ",-84.1916069,39.7589478,2015-11-03,"NA",12,"Compounding",632447,"Small"
"1641","Vasopressin, Unspecified","PharMEDium Services, LLC SugarLand","Surgical",5,58,17,686,NA,"Sugar Land","TX",-95.6225521,29.5984434,2013-12-11,"NA",12,"Compounding",632447,"Small"
"1642","Vasopressin, Unspecified","Pharmedium Services, LLC, Dayton","Surgical",5,74,25,686,NA,"Dayton","NJ",-84.1916069,39.7589478,2015-11-03,"NA",12,"Compounding",632447,"Small"
"1643","Vecuronium Bromide","PharMEDium Services, LLC SugarLand","Surgical",3,58,17,686,NA,"Sugar Land","TX",-95.6225521,29.5984434,2013-12-11,"NA",12,"Compounding",632447,"Small"
"1644","Calcium Chloride","Pine Pharmaceuticals LLC","Surgical",5,84,19,686,NA,"Tonawanda","NY",-78.8723971,42.9886849,2018-03-09,"15000",34,"Compounding",1280000,"Small"
"1645","Ceftazidime","Pine Pharmaceuticals LLC","Surgical",5,84,19,686,"Y","Tonawanda","NY",-78.8723971,42.9886849,2018-03-09,"15000",34,"Compounding",1280000,"Small"
"1646","Cefuroxime Sodium","Pine Pharmaceuticals LLC","Surgical",4,84,19,686,NA,"Tonawanda","NY",-78.8723971,42.9886849,2018-03-09,"15000",34,"Compounding",1280000,"Small"
"1647","Ephedrine Sulfate","Pine Pharmaceuticals LLC","Surgical",21,84,19,686,"Y","Tonawanda","NY",-78.8723971,42.9886849,2018-03-09,"15000",34,"Compounding",1280000,"Small"
"1648","Moxifloxacin Hydrochloride","Pine Pharmaceuticals LLC","Surgical",9,84,19,686,NA,"Tonawanda","NY",-78.8723971,42.9886849,2018-03-09,"15000",34,"Compounding",1280000,"Small"
"1649","Phenylephrine Hydrochloride","Pine Pharmaceuticals LLC","Surgical",28,84,19,686,NA,"Tonawanda","NY",-78.8723971,42.9886849,2018-03-09,"15000",34,"Compounding",1280000,"Small"
"1650","Povidone-Iodine","Pine Pharmaceuticals LLC","Surgical",6,84,19,686,NA,"Tonawanda","NY",-78.8723971,42.9886849,2018-03-09,"15000",34,"Compounding",1280000,"Small"
"1651","Remifentanil Hydrochloride","Pine Pharmaceuticals LLC","Surgical",4,84,19,686,NA,"Tonawanda","NY",-78.8723971,42.9886849,2018-03-09,"15000",34,"Compounding",1280000,"Small"
"1652","Vancomycin Hydrochloride; Gentamicin Sulfate","Pine Pharmaceuticals LLC","Surgical",1,84,19,686,NA,"Tonawanda","NY",-78.8723971,42.9886849,2018-03-09,"15000",34,"Compounding",1280000,"Small"
"1653","Bupivacaine Hydrochloride","Premier Pharmacy Labs, Inc","Surgical",11,88,23,686,NA,"Brookville","FL",-79.0830924,41.1611746,2014-04-16,"NA",8,"Compounding",1500000,"Small"
"1654","Calcium Chloride","Premier Pharmacy Labs, Inc","Surgical",5,88,23,686,NA,"Brookville","FL",-79.0830924,41.1611746,2014-04-16,"NA",8,"Compounding",1500000,"Small"
